-8.524084171099504115e-01,5.980585686785715005e+00,4.931793242806387090e-01,2.875815870366442706e-01
-1.022370100021362305e+00,-1.378251857310533346e+00,6.568377308547496130e-01,-3.582374751567840576e-02
-6.018923476338385870e-01,3.104699749499559291e-01,-7.142246477305888575e-02,-2.006780728697776794e-01
-4.341621637344360018e-01,-9.653161875903604194e-02,2.803403027355670998e-02,-4.369964487850666046e-01
-2.906270988285541423e-01,1.174185285344721275e-03,-6.244931509718299259e-03,-4.215623000636696815e-01
-1.986683662864379418e-01,-9.653515124227851629e-03,2.962471800856292681e-04,-3.592171687632799149e-01
-1.335389752872288005e-01,1.191031727939843854e-02,2.166233956813813123e-04,-2.787946402095258236e-01
-8.997968565672635755e-02,1.543149637000169883e-02,2.399187031551264313e-03,-2.060584995924727991e-01
-6.078078402206300856e-02,1.275669457390904080e-02,2.530072536319494421e-03,-1.468195004854351282e-01
-4.086622297763824185e-02,1.168907813262194326e-02,1.939310948364436757e-03,-1.025351058924570680e-01
