-2.321948079472864634e+00,-1.560399129923836892e+00
-3.882347209396701526e+00,-5.603991301835518080e-01
-4.442746339580253334e+00,3.814125182490101240e-01
-4.061333821331243321e+00,8.830021191347198206e-01
-3.178331702196523612e+00,1.040496665527900655e+00
-2.137835036668622735e+00,9.668709817039021770e-01
-1.170964054964720447e+00,7.669303078015220487e-01
-4.040337471631983979e-01,5.237078028159446452e-01
1.196740556527462473e-01,2.938293583456280667e-01
4.135034139983743140e-01,1.090000663000888770e-01
